sentence_id	sentence	factuality
431245969	 I've since had a recurrence.	EXPERIENCE
1331772641	There is some debate about whether mammograms and surgery actually spread the disease.	FACT
2137112845	Cancer if left untreated can be extremely dangerous and even fatal.	OPINION
2144930817	I don't necessarily think that conventional medicine has all the answers.	OPINION
1457286377	 Some people have had really amazing results with lifestyle medicine.	OPINION
860022598	You need to do what feels right to you.	OPINION
1835409360	 Intuition is a valuable tool.	OPINION
447072107	Good luck with whatever you decide.	NOT_LABELED
296676216	Thank you!	NOT_LABELED
290521272	It sounds as though you have found a GREAT Surgeon who has exactly the right information and caring that you need.	OPINION
355276762	The follow-up plan seems very appropriate and I would be comfortable with that myself.	OPINION
1660980221	I do think it wise to go ahead with the second opinion to further clear things in your mind.	OPINION
2137316482	The hematoma issue isn't at all unusual in such circumstances with biopsies but it can complicate the situation.	OPINION
1144677266	Remember that the decision you make today or 3 months from now won't necessarily change the outcome.	OPINION
1055770250	Even though papilloma can be cancer, if there is only one they are usually watched for a period of time.	FACT
893162685	You're on the right track but try not to confuse yourself by doing TOO much research as no 2 cases are the same and you can't depend too much on percentages, they are too general.	OPINION
809780317	Take care and stay busy .... NO negative thinking !!	OPINION
1690285322	Hi I went for my second opinion, Not sure what to make of the appointment though.	EXPERIENCE
1495894517	This doctor is a top breast Sergent in my area, She actually did my first breast surgery in 2008.	EXPERIENCE
1120336500	  When i saw her i felt like she was a little pushy,  She said to me it grew and surgery  was the best route even though i do not have any of the symptoms and the biopsy came back benign.	EXPERIENCE
1641269773	She quoted to me (Pathology report too consider excision.)	EXPERIENCE
1455101857	When i ask questions i felt like she thought i was stupid and she did not want to answer questions she cut me off, proceeded to tell me two options surgery or follow every six months.	EXPERIENCE
549740687	 My question which i think is important does anyone know?	OPINION
806168849	Are there any studies of women who were follow with intraductal papilloma what is the long term out come.	FACT
426713677	That's too bad that you had a less than comfortable experience with the Breast Surgeon; perhaps she was having a bad day ????	OPINION
514655684	At this point since the chance of a single papilloma being malignant is rather small you might as well follow it for the recommended 6 months.	OPINION
214807745	This all began the last of November and you should count the 6 months from that date and see what is recommended at your next check-up which would be in the Spring.	OPINION
2136290454	If at that time it is determined to be benign then it can be left alone.	OPINION
888451255	On the other hand if you are "done" with all the re-checks and possible biopsies then have it removed and over with.	OPINION
97086927	It all comes down to what you are comfortable with.	OPINION
192197947	I would make my appointment now for the 6 month check-up if that's the way you intend to go so there will be no waiting when the time actually arrives.	OPINION
1592200492	 Regards ....	NOT_LABELED
1861139192	I really don't see any difference in the two.	OPINION
705877977	The area is being removed either way.	FACT
1574037539	It seems to me that this is just the use of different terminology.	OPINION
52737556	 Best wishes for a speedy recovery .....	NOT_LABELED
2081141412	That does seem rather a long time but it depends upon exactly what your normal activity consists of, like strenuous exercise which would not be wise or several other things that would  put undue strain on muscles, etc.	OPINION
595270619	I would increase your activities very gradually but NEVER go against the advice of the Surgeon.	OPINION
374639454	Complete healing of the tissues does take quite some time and you certainly would not want to delay that.	OPINION
1370111683	 I'm glad to hear the things went well and hope for GREAT news when the reports come in.	OPINION
357026958	Do take it easy though.... Regards.	NOT_LABELED
1856706048	When I went in for my mammogram, I was told that my benign scattered calcifications that I had for the last 2 years were misread and are actually fine, linear calcifications, but because they were stable for 2 years they told me to come back in 6 months.	EXPERIENCE
1113876556	 They gave me a BI RADS 3.	EXPERIENCE
1181561008	 When I got my report, my breast density was reported as extremely dense.	EXPERIENCE
247194292	 I have always had heterogeneously dense breasts.	EXPERIENCE
591339982	 I have since done a lot of googling and cannot understand why they wouldn't biopsy.	EXPERIENCE
1712694390	 I have found out that DCIS can be stable for a while and that the morphology is more important than the stability over time.	FACT
1506275081	 Why would they wait!	OPINION
130590630	 I am so scared!	OPINION
192907486	 Do they know what they are doing?	FACT
911976719	Thoughts please?	NOT_LABELED
795942794	Hi.	FACT
1728031891	 Experienced Radiologists are quite able to identify typically benign breast calcifications depending on their form and pattern.	FACT
396543077	If no suspicion is detected a biopsy is not required to prevent unnecessary procedures.	FACT
1297218234	 BIRADS Category 3, means that the findings have a very high probability of being benign, therefore  recommending a short-interval follow-up.	OPINION
1548623475	I wouldn't worry so much if I were you, because what your radiologist has recommended is standard procedure.	OPINION
365160667	If these calcification were suspicious in any way, I am sure a biopsy would have certainly been ordered.	OPINION
1724281747	 But of course this is up to you to decide….if you still feel uncomfortable waiting six months for a follow up, you could always have your films read by another Radiologist for a second opinion, or ask your Doctor to order a biopsy.	OPINION
867182691	 Best wishes...  	NOT_LABELED
246137679	Thank you for your answer.	NOT_LABELED
994107068	 I don't understand why I have to have a mammogram in 6 months.	OPINION
1677336066	 Why can't I just get one in 1 year?	OPINION
1574494696	 I don't think BI RADS 3 is very useful to have to spend the extra money to watch something that is benign.	OPINION
1681805608	 When will I ever go back to once a year mammograms?	FACT
1230290186	Hi again, You have been asked to have these calcification monitored every 6 month simply because when the radiologist assigns calcifications to a "probably benign" category, the risk of malignancy even if very low ( less than 2%) can change unexpectedly.	FACT
431371336	Typically these calcifications will be monitored every six months for at least one year.	FACT
351295205	Assuming that no new changes are found, your doctor will recommend you have a routine mammogram once a year.	FACT
171623310	I hope that you’ll follow your doctor’s recommendation to make sure there is no change in the size, shape or number of calcifications.	OPINION
1678936428	My calcifications have already been stable for over 2 years.	EXPERIENCE
2003899890	 Can you show me any resource that says if a radiologist sees fine, linear calcifications to "wait and see" for six months?	FACT
1483380640	  If they want them stable for a year, I have been stable for more than 2 years.	FACT
329263696	 I have not seen 1 resource where it is recommended that fine, linear calcifications be put in the BI RADS 3 or 2 categories.	OPINION
1099817452	 My mammograms have all been the same, the only difference is that the radiologists have misread them.	EXPERIENCE
2966762292	 Thank you	NOT_LABELED
1818710939	If the calcifications can change unexpectedly, then is the risk still less than 2%?	FACT
102130753	 If they haven't changed in 2 years, what is the risk they will change in 2 1/2 years, 3 years, ect...?	FACT
1501818390	I really cannot say why your Radiologist asked you to follow-up in 6 months since your calcifications have been stable for 2 years.	FACT
1372066530	Linear calcification is not always indicative of malignancy.	FACT
286367704	The suspicion is raised only when they are clustered and appear to form several branches.	FACT
1569854859	When they are linear but detached, such as probably yours are, it’s usually not worrisome but they have to be monitored regularly.	FACT
2092426263	I wish I could give you more information about the things you are requesting here, but the only advice I can give you is to have your Mammogram films read by a different Radiologist for a second opinion and also to have your test report explained to you in details by your Doctor who is your best source of information.	OPINION
2140302557	I wish you well...  	NOT_LABELED
1867518096	Thank you zouzi for the information.	NOT_LABELED
1529609706	 I don't understand if they are not worrisome, why watch them?	OPINION
1980048256	 It seems like a waste of resources.	OPINION
1716923313	 What benign condition is linear but detached calcifications?	FACT
695798262	It appears from the many posts on this forum regarding incisions opening after lumpectomies that it must be pretty common.	FACT
301594413	 I had a lumpectomy on March 12.	EXPERIENCE
1099188297	 Two weeks later, it opened overnight.	EXPERIENCE
1718632296	 In the morn it was oozing & bleeding.	EXPERIENCE
1601156060	 I returned to the surgeon, who said it was infected.	EXPERIENCE
288128148	 I was given antibiotics.	EXPERIENCE
1750831443	 My oncologist looked at it a week later and said it was no longer infected, but to return to the surgeon if it looked like it wasn't healing.	EXPERIENCE
1624972942	 Part of the incision is slowly healing, but a new section opened and is bleeding slightly.	EXPERIENCE
596685493	 I keep it covered with gauze to keep it clean.	EXPERIENCE
77860423	 How long shoud I give this to heal?	FACT
253848826	 I didn't expect this to happen at all with the healing of the incision.	OPINION
328647200	 My surgeon did not seem concerned.	EXPERIENCE
577982755	 He surely sees it all the time.	OPINION
1700127094	 It's good to be reassured.	OPINION
629089878	 I am so glad to have this site with all who care so much about one another.	OPINION
89858213	  So it's been about a month or so since the wound opened.	EXPERIENCE
1883986361	 That part seems to be healing.	EXPERIENCE
317647290	 There is another section that after all this time, that decided to open the other day.	EXPERIENCE
2117455694	 It's small and bleeding just a little.	EXPERIENCE
687646330	 I'll give it some more time.	FACT
1257111547	 Thank you again and I hope everything is ok with you now.	NOT_LABELED
1828899364	I didn't either.	NOT_LABELED
1236303866	 Personally I didn't expect to get an infection and definitely didn't anticipate needing district nursing input.	OPINION
1443703862	Perhaps I took recovery for granted as I healed really well, and quickly, after having a duct out during a previous operation.	EXPERIENCE
800520470	It is good if a surgeon doesn't seem concerned -I think.	OPINION
1978660194	Bleeding is a good sign as it denotes healthy tissue.	FACT
1438349473	 Too much bleeding is not though.	FACT
1625119573	I've really benefited from this site and the support, advice and information too.	OPINION
282012432	 It's been invaluable.	OPINION
1381856024	I expect that section too will heal.	OPINION
384393901	 I think it's normal for us to become anxious, etc during our recoveries.	OPINION
480707123	 This is all new to us and we're learning about ourselves and our bodies during this process.	OPINION
1326558710	I had stitches poke through my skin too.	EXPERIENCE
1068673054	 Just when I thought I'd healed I found this thing on my breast.	EXPERIENCE
368972932	 I was scared it had become infected again but it was only a mushy little stitch which I pulled out myself.	EXPERIENCE
898638523	 (The stitch was redundant anyhow as the surgical registrar had cut it to insert a drain for the infection).	EXPERIENCE
2016899921	You're welcome.	NOT_LABELED
582840957	  I'm fine.	NOT_LABELED
1655701829	 I've just finished radiation treatment and are getting over residual fatigue.	EXPERIENCE
917490958	Just be vigilant about your breast (without making it worse) and discuss any concerns you have with your doctor.	OPINION
23402	J	NOT_LABELED
371382612	A related discussion, <a href="/posts/Breast-Cancer/post-lumpectomy-/show/2678465">post lumpectomy </a> was started.	NOT_LABELED
2137068100	Hello.	NOT_LABELED
346028708	 I am having the same problem.	EXPERIENCE
1589929095	My wound is still open after 5 weeks.	EXPERIENCE
1831096411	 I have to and see surgeon on Monday and likely have it packed and changed daily she said.	EXPERIENCE
285790521	 This *****!!!.	NOT_LABELED
1402436785	 My radiation has been delayed by several weeks they said until healed.	EXPERIENCE
1378388681	 My question is, does it hurt to have packing.	FACT
1633772740	 I have never had it before and am a little overwhelmed	EXPERIENCE
936023860	This is a very old thread.	FACT
623550510	I would suggest you start your own new  thread.	OPINION
755177697	If you describe the details of your situation and ask your questions there, you will be more likely to get answers addressed specifically to you and your concerns.	OPINION
219896547	Best wishes	NOT_LABELED
1872969565	Radiation does delay healing so that's why you are being delayed for that part of your treatment.	FACT
538952223	As far as the packing is concerned, if the area isn't painful at the present then I doubt that it will be terribly uncomfortable.	OPINION
1562509636	I have had a couple of areas that required packing and I had no pain but it was not in the same area as yours.	EXPERIENCE
859134688	The amount of discomfort with the packing and removing it daily would also depend on the depth of the wound.	FACT
247629535	 Here's hoping it will be effective and not cause you very much discomfort.	OPINION
1202164928	Hang in there, these things do happen now and then but they can be overcome with a little extra time.	OPINION
175042842	  Kindest regards ....	NOT_LABELED
42338658	I had a 3D mammo because of a large mass in my right breast.	EXPERIENCE
1789855975	 I was told a 3D is much more accurate than a standard mammo.	EXPERIENCE
782339731	 Nobody would tell me the result of this but now they say I need an ultrasound.	EXPERIENCE
1468390945	 If the 3D is so accurate why would they need an ultrasound?	FACT
1387240668	 That means cancer,right?	OPINION
2124384404	 Nobody willtellme anything and I amso scared.	OPINION
1939534655	I am terrified and confused and cannot remember the many,many things I have been told in the last few days and that includes posts here.	EXPERIENCE
1106276103	 But you are wrong -- no one has been "more than happy" to explain things.	EXPERIENCE
2102226916	 The medical professionals have not been forthcoming, they have been elusive and reluctant which leads me to believe they are hiding something very bad.	EXPERIENCE
788824448	I see no reason to panic at this point.	OPINION
1183469667	MRI is a much more sensitive type of test and can often show things that other tests do not.	FACT
537495848	A biopsy of course is the only sure way to diagnose what this mass represents.	FACT
1138897396	It could be a Fibroadenoma which is a benign breast tumor.	OPINION
956023719	I would be surprised that a mass of this size representing cancer would not have shown up on either the Mammogram or Ultrasound.	OPINION
1274196465	Proceed with the recommended biopsy which will define more accurately what you're dealing with.	OPINION
1074178099	Being terrified never helps and usually tends to cloud your vision as well as your thoughts.	OPINION
943078707	I imagine that you are seeing a Breast Specialist but if not this is something that you need to arrange.	OPINION
1832094990	Family history accounts for a very small percentage of diagnosed cases of Breast Cancer even though it is a risk factor.	FACT
1107066438	Thanks so much for helping me down off of the ledge.	NOT_LABELED
964568750	It has become all consuming.	OPINION
1901909897	 Biopsy is on Thursday.	FACT
905794881	Wish me luck!	NOT_LABELED
1297728127	You're more than welcome .... it's scary up there on the ledge :) Luck, Wishes and Prayers are with you from all of us here.	OPINION
1955506531	We know how it is but whatever it is we always seem to be able to handle it.	OPINION
526674840	  Let us know when you get your results.... Regards	FACT
1171927058	Thanks for the update .... sounds as though you have done well so far and it's a GREAT thing that nodes were not involved.	OPINION
1970631378	As far as the Chemo goes, it's hard to say.	OPINION
1577134038	Everyone and their response to the drugs is so varied you'll just have to wait and see .... great advice, right ??	OPINION
1809654519	Seriously, some women can breeze through it with little or no problem and others have adverse reactions.	FACT
1721938714	Keep positive thoughts and don't go looking for "what might occur" and don't hesitate to make clear any problems you may have.	OPINION
710311338	The Oncology team will have many things that will help with or counteract any side effects that you experience.	FACT
2079986640	Don't keep it to yourself; make it known if you have a problem of any kind.	OPINION
1172850370	Wishing you a good experience during your treatment .... you can do it, I know you can !!	OPINION
1057348614	 Take care and keep us posted when you have the time.	OPINION
17504284222	   Kindest regards ....	NOT_LABELED
1223457183	Trying g to keep positive, but it is quite hard at times.	EXPERIENCE
1058168520	Do you think I'll be needing a petscan before chemo?	FACT
2086925072	Breast doc says no.	FACT
984331207	We will see what the oncologist says.	FACT
526373795	I am really not up for any more scans at this point.	EXPERIENCE
814051225	Just want to deal with the matter at hand and get it over with.	FACT
2103016052	Thanks for the kind words.	NOT_LABELED
701155170	Is 3 weeks post op a long time before seeing the oncologist?	FACT
1884016871	I'm hearing no because you need time to heal.	FACT
1826099422	WAiting and being anxious really *****!	EXPERIENCE
1102058022	No, not at all .... healing is a complicated process in the tissues below the surface.	FACT
1711536123	There will seem to be no end to the "waiting" but it's all a learning experience.	OPINION
1301532863	After all is said and done you will be a much more patient person ..... hopefully  :) .	OPINION
1550914536	  take care .....	NOT_LABELED
515189796	Hi, Please try not to panic!	NOT_LABELED
2141073585	Most breast lesions are not cancerous.	FACT
12453627212	A variety of benign breast lumps like fibroadenoma or cysts do appear suspicious on x-rays sometimes,but it's nothing more than that.	FACT
12322143211	The fact that the report states that no vasculariry (blood flow)or architectural distortion is present,it's a good sign!	FACT
501432412	Most biopsy are recommended just to make sure and it's an excellent medical procedure to obtain a correct diagnosis!	FACT
763991487	Try not to worry....Hopefully this is nothing to be concerned about.	OPINION
117037783	Wishing you all the best!	NOT_LABELED
613740522	Thanks zouzi.	NOT_LABELED
635750617	I don't think it's a cyst because it's not clear, has calcifications in it :/  that's what the radiologist said to me.	OPINION
643830451	And it has some tapering so not a nice well circumcised lesion, all risk factors for malignancy from what I have read.	EXPERIENCE
1308237156	I feel too young to have cancer.	OPINION
1102378694	But then I've read that it can happen any age.	EXPERIENCE
1217557325	There's just so many stories of young women who are fighting this that I've read about in the last week on the internet.	FACT
829598488	It's make things seem more probable.	OPINION
502466638	 Whatever the result, this experience has made me realise that I need to change the way I live And live a bit more for today.	EXPERIENCE
830188379	I have never felt so anxious or scared in my life.	EXPERIENCE
1388205763	I'll never take my life for granted again.	FACT
1644395052	I'm amazed at how muh this has changed me.	EXPERIENCE
1361474653	Yes,I know that the possibility of "breast cancer" can cause a lot of stress and anxiety,but remember that reading stories over the internet about women with BC is not necessarily related to your situation at all,since you haven't been diagnosed with anything yet.	OPINION
3423432342	Try your best to stay calm and don't let your mind be filled with negative thoughts.	OPINION
1864889785	Keep in mind that many breast lumps are not cancerous,even suspicious ones... and I hope the same for you too.	OPINION
565692068	Please let us know when you receive your biopsy results and lets hope for a favorable outcome.	OPINION
1082473215	Ok I'll let you know	NOT_LABELED
593723525	I just had a look to the sonographers report and she wrote cystic and solid components present with calcifications.	EXPERIENCE
1521007404	That's a good thing right?	OPINION
113200225	Ok thanks.	NOT_LABELED
1606383588	Yeah what's happened is I have a copy of what the sonographer wrote, and the final report of what the radiologist wrote.	FACT
820742501	This is where there are different descriptions.	FACT
1809439220	Sonopgrapher wrote cystic and solid components but the final report has what I wrote originally.	FACT
1494162804	Even I'm confused as to who is correct!	FACT
561727243	I just responded to your private message.	FACT
1366852053	What are the chances treating this type of cancer with radiation only?	FACT
742347649	 Does the statistics change any and if so, can you tell me the percentage!	FACT
581873026	I recently under went a lumpectomy in July, I also has lymph nodes involved.	EXPERIENCE
125054595	The tumors were removed, my margins came back clear.	EXPERIENCE
836067605	I don't want to go through chemotherapy, I am willing to do radiation along with hepercin  will this  help me at all?	FACT
1863446660	I think what the doctor is trying to tell you is that surgery in your case is necessary, and which you now say you had.	OPINION
2004562029	He also said that especially if lymph nodes are involved, chemotherapy is highly recommended and the right way to go in your case.	OPINION
1961621684	It will not guarantee that you will live forever but it will increase your chances of living longer.	FACT
37032338	I do understand what you are saying, after all mt tests from the muga scan to the mri bone scat and cat scan.	FACT
481548035	Blood work and so on, after all the tests came back would the doctors know if the cance has spresd to other area outside of my lymph nodes?	FACT
72493	Hi.	NOT_LABELED
103258448	 If the cancer has been found in the lymph nodes, there is a significant probability that there is already microscopic spread to other areas of the body.	FACT
595987251	 This microscopic spread may not be easily detected by conventional imaging procedures.	FACT
669179545	 So even if the initial tests were negative for distant metastases, if the lymph nodes are already involved, it is imperative to do some additional treatment like chemotherapy, since we are not sure that the negative results are totally reliable.	FACT
1176941028	Is there a time lime to have chemotherapy?,	FACT
581871935	right now I am unable to have the chemotherapy due to financial reason.	FACT
1720485447	I am not counting it out all together maybe sometime next year?	FACT
2016512704	This is what I have been told.	EXPERIENCE
1934410799	When you are first diagnosed, a team of doctors set up your treatment plan. (	FACT
1154697713	or a doctor/doctors talk about what they think is the best thing to do in any particular case for the best possible outcome and prevention of reoccurrence.)	FACT
138194740	Then , if the patient agrees to this, you go ahead with it.	FACT
1201545935	If you do, then the initial treatments are really the most important of all the treatment, as the goal is to wipe out whatever cancer there is and may be lurking the very first time.	FACT
1597602703	If you decide to do chemo a year or so later, this will no longer be part of the initially recommended treatment that according to the doctor's best judgement has the highest chance of working in your best interest.	FACT
1893726723	Radiation will certainly help with reoccurrence, and it will attack whatever may have spread outside of the surgical area that was removed.	FACT
1925896154	But as the doctor above explains, with positive lymph nodes there is a chance that the cancer has spread, and in half of the cases those lesions are so tiny that they won't show up on a bone scan or other test.	FACT
44162754	So, this is why chemotherapy is utilized to make sure that if this spread is there it is wiped out by chemo immediately, because after the first chance the cancer will only spread and grow. (	FACT
1432263948	I mean even with radiation, it will grow outside of the radiation area.)	FACT
154584627	Radiation is local treatment just like surgery, and chemo is systemic.	FACT
1690568799	So is tamoxifen but  it's not indicated in your case.	FACT
28363907	Do not put off chemo because of financial reasons.	OPINION
225524585	There are breast cancer advocate organizations that can help you get treatment.	FACT
177959985	I think one of them is called youcanthrive.org, or something close to that.	OPINION
185245756	Find an advocate and get the treatment you need.	FACT
664344341	Your LIFE is more important than financial considerations.	OPINION
768772863	NOBODY in this country should have to risk recurrence of a life threatening disease because they can't afford treatment.	OPINION
813046622	I had Stage 3 Invasive Ductal Carcinoma in 09.	EXPERIENCE
433206050	Treatment included 2 lumpectomies, chemotherapy and radiation.	EXPERIENCE
2085510238	When cancer reaches your lymph nodes, you have no idea where the cancer cells have traveled through your body, therefore chemotherapy treatment is necessary.	FACT
765918576	Do you know of any more of the advocate and financial support groups?	FACT
867686277	Thank you.	NOT_LABELED
1965985106	4 1/2 years ago my mother has a cancerous lump taken out of her breast.	EXPERIENCE
1609572357	SHE DID NO TREATMENTs.	EXPERIENCE
929515175	About a year ago she found another lump in the same breast but this time on the outside.	EXPERIENCE
1213276660	She found a doctor that has been treating it.	EXPERIENCE
1106332463	we thought it was getting better.	EXPERIENCE
1986504846	Just a couple of months ago the same doctor who is in another state where we live ordered a bone scan her at home.	EXPERIENCE
716640418	The results according to this doctor weren't good.	EXPERIENCE
950190958	He said there was nothing else he could do.	EXPERIENCE
1092436990	We found a cancer doctor here at home.	EXPERIENCE
1270390595	It is now in her lymph notes under her arm and in her chest and she also has another lump in the same breast inside again.	EXPERIENCE
1473977741	It has been growing since her surgery 4 1/2 years ago.	EXPERIENCE
832528475	This doctor said it is not in any of her organs .	EXPERIENCE
1572601787	All the natural stuff my mom was taking saved her organs.	EXPERIENCE
539281426	It is in her bones now.	EXPERIENCE
1028754948	The doctor here will have them in a week.	EXPERIENCE
1813513923	It only will be than that he will know what bones and how many the cancer is now in.	EXPERIENCE
1621380010	Is it true once it reaches the bones it is stage 4?	OPINION
